county,party,votes_total,votes_party_st,votes_party_tot,perc_party_st,votes_party_dir,perc_party_dir
BASTROP,R,25888,4456,13817,0.1721260815822,11438.7339307787,0.441854679031935
BELL,R,89788,23850,49242,0.265625696084109,36162.0594734263,0.402749359306659
BEXAR,R,530278,118774,246275,0.223984400635139,191113.241733581,0.36040198109969
BOWIE,R,35187,9804,24162,0.278625628783357,17429.8475573365,0.495349065204096
BRAZORIA,R,104656,33393,67515,0.319073918361107,45972.7244018499,0.43927461781312
BRAZOS,R,58567,13402,37465,0.228831936073215,28891.811515017,0.493312129954018
CAMERON,R,75547,11420,26671,0.151164175943452,22639.3002634122,0.299671731020586
COLLIN,R,297411,112595,184897,0.378583845251184,114897.982764592,0.386327280311057
COMAL,R,48025,18859,35233,0.39269130661114,21397.3071941697,0.445545178431436
DALLAS,R,741778,187746,310000,0.253102680316752,231538.169101807,0.312139439430405
DENTON,R,242145,87080,149935,0.359619236407937,96015.4897891759,0.396520637589774
ECTOR,R,35591,14912,26199,0.418982326992779,15222.0820151162,0.427694698522553
EL PASO,R,188517,23526,61783,0.124795111316221,54072.7836375499,0.28683240046017
ELLIS,R,53808,20211,38078,0.375613291703836,23775.3970785013,0.441856175262068
FORT BEND,R,202225,66615,103206,0.329410310297935,69208.8795153913,0.342237010831456
GALVESTON,R,105936,30142,62258,0.284530282434677,44543.7136761818,0.420477587186432
GRAYSON,R,45356,16428,31136,0.362201252315019,19858.5018079196,0.437836268805
GREGG,R,42470,16847,29203,0.396680009418413,17618.7536849541,0.414851746761339
GUADALUPE,R,47255,16153,30869,0.341826261771241,20317.1651253836,0.429947415625512
HARRIS,R,1185658,343282,571883,0.289528683650766,406306.467807749,0.342684372565908
HARRISON,R,26099,6896,17103,0.264224682938044,12583.9652477106,0.48216273603244
HAYS,R,59022,14334,29638,0.242858595100132,22440.1569584223,0.380199873918577
HENDERSON,R,28895,10011,20857,0.346461325488839,13630.8561342793,0.471737537092206
HIDALGO,R,130485,20162,39668,0.154515844733111,33538.665471127,0.25703081174945
HUNT,R,29519,8455,20573,0.286425691927233,14680.364239981,0.497319158507437
JEFFERSON,R,88831,20590,42905,0.231788452229514,32960.1164570927,0.371042951864694
JOHNSON,R,50039,18369,36685,0.367093666939787,23218.1688283139,0.464001455431042
KAUFMAN,R,35133,12227,23735,0.348020379699997,15474.7362878206,0.440461568548674
LUBBOCK,R,97063,27760,66304,0.285999814553434,47341.0682958491,0.487735473824723
MCLENNAN,R,79593,22922,49044,0.287990149887553,34919.8110889149,0.438729675837258
MIDLAND,R,46155,18618,36155,0.403379915502112,21570.7991550211,0.467355631134679
MONTGOMERY,R,157327,82126,119884,0.522008301181615,57303.5568211432,0.364232184057048
NUECES,R,100865,21195,52391,0.210132355128142,41381.9557824815,0.410270716130288
ORANGE,R,29406,7994,21509,0.271849282459362,15661.7937835816,0.532605379296116
PARKER,R,47541,23074,36974,0.485349487810521,19028.6880376938,0.400258472427879
POTTER,R,29986,10205,20761,0.340325485226439,13695.5026012139,0.456729893990992
RANDALL,R,51771,22312,41948,0.430974870101022,23869.4661490023,0.461058626431831
ROCKWALL,R,31947,12946,23300,0.405233668263061,13858.0555294707,0.433782687872748
SMITH,R,79052,31270,55187,0.395562414613166,33357.0970247432,0.42196398604391
TARRANT,R,633753,214053,348420,0.337754614179341,230739.537327634,0.364084331478721
TAYLOR,R,47355,15982,34317,0.337493400908035,22735.238961039,0.480102184796515
TOM GREEN,R,38541,12241,27362,0.317609818115773,18671.5601567162,0.484459670395585
TRAVIS,R,394952,66303,136981,0.167876096335757,113985.164447832,0.288605107577203
VICTORIA,R,30020,9270,19878,0.308794137241839,13739.7901399067,0.457687879410617
WEBB,R,46796,4297,13119,0.091824087528849,11914.359795709,0.25460209837826
WICHITA,R,45841,12324,31731,0.268842302742087,23200.3648916908,0.506105121871051
WILLIAMSON,R,157659,46599,88323,0.295568283447187,62217.5225010941,0.394633496984594
BASTROP,D,25888,5674,11687,0.219174907292954,9125.50285846724,0.352499337857974
BELL,D,89788,21588,40413,0.240433020002673,30696.380362632,0.341876201303426
BEXAR,D,530278,155389,275527,0.293033088304625,194788.472278692,0.367332742973858
BOWIE,D,35187,7257,10815,0.206240941256714,8584.50422030864,0.243968062645541
BRAZORIA,D,104656,20964,36480,0.20031340773582,29172.5668857973,0.278747199260408
BRAZOS,D,58567,9311,20502,0.158980313145628,17242.5856198883,0.294407868251547
CAMERON,D,75547,30851,48480,0.408368300528148,28682.3047903954,0.379661730980653
COLLIN,D,297411,56593,109047,0.190285497173944,88296.9373896729,0.29688524429047
COMAL,D,48025,5007,12384,0.104258198854763,11092.8664653826,0.230981082048571
DALLAS,D,741778,289092,422989,0.389728463232935,258138.147065564,0.347999195265381
DENTON,D,242145,44093,91160,0.182093373804952,74560.3680439406,0.307916199153155
ECTOR,D,35591,5903,9123,0.165856536764912,7609.8908150937,0.213815032314172
EL PASO,D,188517,76479,122021,0.405687550724868,72518.5993730009,0.384679362460684
ELLIS,D,53808,8330,15333,0.15480969372584,12959.3029661017,0.240843424139565
FORT BEND,D,202225,68426,98368,0.338365681790085,65083.6446136729,0.321837777790446
GALVESTON,D,105936,25946,41805,0.244921462014801,31566.0582804712,0.297972910818525
GRAYSON,D,45356,8437,13900,0.18601728547491,11314.3597318988,0.249456736306084
GREGG,D,42470,8424,13166,0.198351777725453,10554.5004944667,0.248516611595636
GUADALUPE,D,47255,8702,16156,0.1841498254153,13180.8754205904,0.278930809873885
HARRIS,D,1185658,390444,590982,0.329305752586328,396368.227725027,0.33430232640865
HARRISON,D,26099,4681,8887,0.179355530863251,7293.06739721828,0.279438576084075
HAYS,D,59022,14286,28431,0.242045339026126,21549.4089661482,0.365108077770123
HENDERSON,D,28895,4615,7913,0.159716213877834,6649.1655995847,0.230114746481561
HIDALGO,D,130485,61808,90261,0.473678966931065,47506.2627658352,0.364074512517417
HUNT,D,29519,4459,8594,0.151055252549206,7295.83115959213,0.247157124550023
JEFFERSON,D,88831,34517,44888,0.388569305760376,27445.9010030282,0.308967601434502
JOHNSON,D,50039,6809,12912,0.136073862387338,11155.0142888547,0.222926403182611
KAUFMAN,D,35133,6830,11161,0.194404121481228,8991.25560014801,0.255920519174224
LUBBOCK,D,97063,11945,30486,0.123064401471209,26734.2586567487,0.275432025146026
MCLENNAN,D,79593,19170,29998,0.240850326033696,22772.9719196412,0.286117773166499
MIDLAND,D,46155,5054,9691,0.109500595818438,8629.82972592352,0.186974969687434
MONTGOMERY,D,157327,21108,36703,0.134166417715967,31778.6899705708,0.201991329972419
NUECES,D,100865,25843,47912,0.256213751053388,35636.2867595301,0.353306764085957
ORANGE,D,29406,4915,7646,0.167142759980956,6368.02645718561,0.216555344391811
PARKER,D,47541,5658,10502,0.119013062409289,9252.12481857765,0.194613592868843
POTTER,D,29986,4947,8939,0.164976989261655,7464.27069299006,0.24892518818749
